PARAMETER;AGE_GROUP;INF_VALUE;BASE_VALUE;MAX_VALUE
t_e;ALL;2;3;6
t_p;ALL;1;1.5;2
t_a;ALL;14;14;14
t_r;ALL;11;11;11
t_sy;ALL;3;3;3
t_d;e0;1.774193548;2.274193548;2.774193548
t_d;e1;1.137931034;1.637931034;2.137931034
t_d;e2;2.166666667;2.666666667;3.166666667
t_d;e3;2.572340426;3.072340426;3.572340426
t_d;e4;2.520876827;3.020876827;3.520876827
t_d;e5;2.508717949;3.008717949;3.508717949
t_d;e6;2.827126854;3.327126854;3.827126854
t_d;e7;2.557264222;3.057264222;3.557264222
