SYM_DAY,DATE,NEW_1,NEW_2,NEW_3,NEW_4,NEW_5,NEW_6,TOTAL_1,TOTAL_2,TOTAL_3,TOTAL_4,TOTAL_5,TOTAL_6
358,2021-02-13,619,797,732,297,280,85,334485,593913,584178,227500,276659,35993
359,2021-02-14,508,736,701,250,271,86,334993,594649,584879,227750,276930,36079
360,2021-02-15,861,901,913,372,442,120,335854,595550,585792,228122,277372,36199
361,2021-02-16,1048,740,733,333,469,91,336902,596290,586525,228455,277841,36290
362,2021-02-17,1068,694,826,291,373,83,337970,596984,587351,228746,278214,36373
363,2021-02-18,1340,759,713,365,510,114,339310,597743,588064,229111,278724,36487
364,2021-02-19,1179,908,645,341,419,79,340489,598651,588709,229452,279143,36566
365,2021-02-20,859,756,686,302,330,99,341348,599407,589395,229754,279473,36665
366,2021-02-21,677,678,458,165,347,28,342025,600085,589853,229919,279820,36693
367,2021-02-22,1072,838,671,320,439,134,343097,600923,590524,230239,280259,36827
368,2021-02-23,1238,832,652,274,453,60,344335,601755,591176,230513,280712,36887
369,2021-02-24,1268,629,557,259,320,122,345603,602384,591733,230772,281032,37009
370,2021-02-25,1126,800,502,323,453,72,346729,603184,592235,231095,281485,37081
371,2021-02-26,1239,853,538,186,420,70,347968,604037,592773,231281,281905,37151
372,2021-02-27,996,750,477,207,465,37,348964,604787,593250,231488,282370,37188
373,2021-02-28,844,713,499,184,330,59,349808,605500,593749,231672,282700,37247
374,2021-03-01,1237,834,719,255,461,61,351045,606334,594468,231927,283161,37308
375,2021-03-02,1285,806,575,171,525,74,352330,607140,595043,232098,283686,37382
376,2021-03-03,1526,810,523,180,388,45,353856,607950,595566,232278,284074,37427
377,2021-03-04,1802,952,516,201,428,34,355658,608902,596082,232479,284502,37461
378,2021-03-05,1991,1095,589,248,452,47,357649,609997,596671,232727,284954,37508
379,2021-03-06,1583,940,498,208,363,48,359232,610937,597169,232935,285317,37556
380,2021-03-07,1286,852,428,125,385,36,360518,611789,597597,233060,285702,37592
381,2021-03-08,1699,1222,616,233,523,40,362217,613011,598213,233293,286225,37632
382,2021-03-09,2049,1255,636,252,579,59,364266,614266,598849,233545,286804,37691
383,2021-03-10,2213,1028,627,233,492,58,366479,615294,599476,233778,287296,37749
384,2021-03-11,3136,1543,694,347,535,114,369615,616837,600170,234125,287831,37863
385,2021-03-12,2574,1590,716,304,537,104,372189,618427,600886,234429,288368,37967
386,2021-03-13,2202,1541,702,255,451,67,374391,619968,601588,234684,288819,38034
387,2021-03-14,2515,1567,653,248,512,32,376906,621535,602241,234932,289331,38066
388,2021-03-15,3385,2232,873,330,714,58,380291,623767,603114,235262,290045,38124
389,2021-03-16,3185,1933,757,267,592,67,383476,625700,603871,235529,290637,38191
390,2021-03-17,4252,1486,782,188,537,49,387728,627186,604653,235717,291174,38240
391,2021-03-18,2915,1216,852,199,594,32,390643,628402,605505,235916,291768,38272
392,2021-03-19,2851,2038,718,203,635,16,393494,630440,606223,236119,292403,38288
393,2021-03-20,2615,2359,735,213,637,54,396109,632799,606958,236332,293040,38342
