DEPARTMENT;REGION
AMAZONAS;6
ANTIOQUIA;2
ARAUCA;6
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;1
ATLANTICO;1
BOGOTA D.C.;3
BOLIVAR;1
BOYACA;4
CALDAS;2
CAQUETA;2
CASANARE;6
CAUCA;5
CESAR;1
CHOCO;5
CORDOBA;1
CUNDINAMARCA;3
GUAINIA;6
GUAVIARE;6
HUILA;2
LA GUAJIRA;1
MAGDALENA;1
META;4
NARINO;5
NORTE DE SANTANDER;4
PUTUMAYO;6
QUINDIO;2
RISARALDA;2
SANTANDER;4
SUCRE;1
TOLIMA;2
VALLE;5
VAUPES;6
VICHADA;6
