DEPARTMENT;AGE_GROUP;O_TO_M;M_TO_O
GUAVIARE;e3;0;0.244203194
GUAVIARE;e4;0;0.528208085
GUAVIARE;e5;0;0.37216736
GUAVIARE;e6;0;0.559693548
GUAVIARE;e7;0;0.669570181
HUILA;e0;0;0
HUILA;e1;0.001584977;0
HUILA;e2;0.069991263;0
HUILA;e3;0;0.349754841
HUILA;e4;0;0.546753269
HUILA;e5;0;0.525177173
HUILA;e6;0;0.554039309
HUILA;e7;0;0.76335971
LA GUAJIRA;e0;0;0
LA GUAJIRA;e1;0.000361036;0
LA GUAJIRA;e2;0.039605254;0
LA GUAJIRA;e3;0;0.176325608
LA GUAJIRA;e4;0;0.532645599
LA GUAJIRA;e5;0;0.556396563
LA GUAJIRA;e6;0;0.585368336
LA GUAJIRA;e7;0;0.842961002
MAGDALENA;e0;0;0
MAGDALENA;e1;0.000860173;0
MAGDALENA;e2;0.05258207;0
MAGDALENA;e3;0;0.276642585
MAGDALENA;e4;0;0.58202899
MAGDALENA;e5;0;0.513197096
MAGDALENA;e6;0;0.597055689
MAGDALENA;e7;0;0.79519264
META;e0;0;0
META;e1;0.001536537;0
META;e2;0.059173676;0
META;e3;0;0.326921282
META;e4;0;0.593547755
META;e5;0;0.519371862
META;e6;0;0.626564377
META;e7;0;0.806633746
NARINO;e0;0;0
NARINO;e1;0.000756065;0
NARINO;e2;0.084480811;0
NARINO;e3;0;0.386780327
NARINO;e4;0;0.658576976
NARINO;e5;0;0.616181125
NARINO;e6;0;0.646253428
NARINO;e7;0;0.897614446
NORTE DE SANTANDER;e0;0;0
NORTE DE SANTANDER;e1;0.000828475;0
NORTE DE SANTANDER;e2;0.06730691;0
NORTE DE SANTANDER;e3;0;0.450452889
NORTE DE SANTANDER;e4;0;0.630016229
NORTE DE SANTANDER;e5;0;0.509699266
NORTE DE SANTANDER;e6;0;0.425731339
NORTE DE SANTANDER;e7;0;0.760570661
PUTUMAYO;e0;0;0
PUTUMAYO;e1;0.000840101;0
PUTUMAYO;e2;0.042480681;0
PUTUMAYO;e3;0;0.083391035
PUTUMAYO;e4;0;0.538047081
PUTUMAYO;e5;0;0.670897929
PUTUMAYO;e6;0;0.565385549
PUTUMAYO;e7;0;0.803322237
QUINDIO;e0;0;0
QUINDIO;e1;0.000974795;0
QUINDIO;e2;0.069975277;0
QUINDIO;e3;0;0.401950264
QUINDIO;e4;0;0.558565449
QUINDIO;e5;0;0.561082871
QUINDIO;e6;0;0.473765727
QUINDIO;e7;0;0.792973122
RISARALDA;e0;0;0
RISARALDA;e1;0.000643223;0
RISARALDA;e2;0.063415378;0
RISARALDA;e3;0;0.42125215
RISARALDA;e4;0;0.505979774
RISARALDA;e5;0;0.530005339
RISARALDA;e6;0;0.573531497
RISARALDA;e7;0;0.786784678
SANTANDER;e0;0;0
SANTANDER;e1;0.000957633;0
SANTANDER;e2;0.071879095;0
SANTANDER;e3;0;0.372471451
SANTANDER;e4;0;0.511062009
SANTANDER;e5;0;0.55201647
SANTANDER;e6;0;0.591189074
SANTANDER;e7;0;0.79524798
SUCRE;e0;0;0
SUCRE;e1;0.000350049;0
SUCRE;e2;0.057618654;0
SUCRE;e3;0;0.383151789
SUCRE;e4;0;0.645310063
SUCRE;e5;0;0.565525451
SUCRE;e6;0;0.409987169
SUCRE;e7;0;0.882024658
TOLIMA;e0;0;0
TOLIMA;e1;0.001353772;0
TOLIMA;e2;0.066566859;0
TOLIMA;e3;0;0.271510189
TOLIMA;e4;0.291306302;0
TOLIMA;e5;0;0.967094194
TOLIMA;e6;0;0.600509435
TOLIMA;e7;0;0.840929398
VALLE;e0;0;0
VALLE;e1;0.001232112;0
VALLE;e2;0.081968207;0
VALLE;e3;0;0.439810499
VALLE;e4;0;0.596551118
VALLE;e5;0;0.501568511
VALLE;e6;0;0.507872864
VALLE;e7;0;0.788085543
VAUPES;e0;0;0
VAUPES;e1;0;0
VAUPES;e2;0.009905517;0
VAUPES;e3;0.013259132;0
VAUPES;e4;0;0.71891847
VAUPES;e5;0.001106073;0
VAUPES;e6;0.002928899;0
VAUPES;e7;0;1
VICHADA;e0;0;0
VICHADA;e1;0;0
VICHADA;e2;0.010644173;0
VICHADA;e3;0.004848365;0
VICHADA;e4;0;0.19536763
VICHADA;e5;0;0.59264982
VICHADA;e6;0;0.27623357
VICHADA;e7;0;1
